"X","X2014_F05600_ln","X2014_F10400_ln","X2014_CAPAS_ln","X2014_F05510_ln","X2014_F10500_ln","X2014_F10300_ln","X2014_RETA_ln","X2014_F02200_ln","X2014_V16140_ln","not_survive"
98,6.74993119378857,5.64190707093811,-0.8861247906719,7.79729127354747,4.14313472639153,6.73101810048208,-0.397490364895886,7.74153358928183,4.89783979995091,0
99,2.30258509299405,2.07944154167984,-0.693147180559945,4.07753744390572,0,4.60517018598809,-0.329181803358534,3.09104245335832,2.99573227355399,0
102,2.39789527279837,0,2.39789527279837,3.17805383034795,1.09861228866811,5.68697535633982,-1.6177367152488,0,2.63905732961526,0
103,2.19722457733622,4.77912349311153,-7.06219163228656,8.75919775037137,8.13505390861157,5.97126183979046,-0.262158921937312,8.146419323098,3.85014760171006,0
107,3.52636052461616,3.63758615972639,-3.86239038122574,5.73979291217923,6.14846829591765,4.81218435537242,-1.85509147503729,6.81783057145415,2.99573227355399,0
108,6.11146733950268,0,1.86821794367378,6.43133108193348,5.40717177146012,4.38202663467388,-0.600410176829649,0,2.63905732961526,1
109,0,3.58351893845611,-5.22843123908387,5.96357934361845,7.04141166379481,4.99043258677874,-0.698275396926865,4.33073334028633,2.94443897916644,0
112,7.57558465155779,6.4118182677099,-0.732284909604636,7.8046592970561,2.19722457733622,7.32646561384032,-0.721691832144901,8.22121009392507,4.78749174278205,0
113,0,1.6094379124341,-5.69260917405808,4.53259949315326,3.55534806148941,4.63472898822964,-0.755667537541279,2.56494935746154,3.09104245335832,0
114,3.91202300542815,3.3322045101752,-0.133531392624523,4.55387689160054,1.38629436111989,6.83840520084734,-0.999082693321077,4.15888308335967,3.09104245335832,0
116,0,1.38629436111989,-3.89182029811063,6.06610809010375,2.77258872223978,5.50125821054473,0.445707224386598,1.09861228866811,3.04452243772342,0
117,2.19722457733622,2.07944154167984,-3.62797070102694,3.93182563272433,5.72031177660741,4.77068462446567,-2.09404034110099,4.56434819146784,2.83321334405622,0
119,4.47733681447821,1.38629436111989,-0.451985123743057,5.02388052084628,5.20948615284142,5.19295685089021,-1.23761116347477,4.0943445622221,3.2188758248682,0
120,5.99645208861902,3.76120011569356,0.538038187290875,2.07944154167984,5.71042701737487,5.96357934361845,-5.39906726964818,5.36129216570943,2.83321334405622,0
121,5.39362754635236,4.78749174278205,-1.93743275886627,7.26752542782817,9.23493541883156,7.33236920592906,-1.11910339356695,6.52356230614951,4.40671924726425,0
122,5.32300997913841,2.77258872223978,-1.45804764679777,4.77912349311153,9.36168712447071,5.5683445037611,-2.5745988372881,5.47227067367148,3.29583686600433,0
123,2.07944154167984,1.09861228866811,-3.35960348436332,3.73766961828337,8.46884293047519,5.54517744447956,-2.0306513775104,2.77258872223978,3.73766961828337,0
